MArca de Tiempo, Uso de Memoria(%)
10:35:20,60.8
10:35:21,60.8
10:35:22,60.8
10:35:23,60.8
10:35:24,60.8
10:35:25,60.9
10:35:26,60.9
10:35:27,60.8
10:35:28,60.8
10:35:29,60.9
10:35:30,61.0
10:35:31,60.9
10:35:32,60.9
10:35:33,60.9
10:35:34,60.9
10:35:35,60.9
10:35:36,61.0
10:35:37,61.0
10:35:38,60.9
10:35:39,61.0
10:35:40,60.9
10:35:41,60.9
10:35:42,60.9
10:35:43,60.9
10:35:44,60.9
10:35:45,60.9
10:35:46,60.8
10:35:47,60.8
10:35:48,60.8
10:35:49,60.8
10:35:50,60.8
10:35:51,60.8
10:35:52,60.9
10:35:53,60.9
10:35:54,60.9
10:35:55,60.9
10:35:56,61.0
10:35:57,60.9
10:35:58,60.9
10:35:59,60.9
10:36:00,60.9
10:36:01,61.1
10:36:02,61.1
10:36:03,61.0
10:36:04,61.0
10:36:05,61.0
10:36:06,61.4
10:36:07,61.2
10:36:08,61.1
10:36:09,61.0
10:36:10,61.0
10:36:11,61.0
10:36:12,61.0
10:36:13,60.9
10:36:14,60.9
10:36:15,60.9
10:36:16,61.0
10:36:17,60.7
10:36:18,60.1
10:36:19,59.8
10:36:20,59.8
10:36:21,59.8
10:36:22,59.8
10:36:23,59.8
10:36:24,59.8
10:36:25,59.8
10:36:26,59.8
10:36:27,59.8
10:36:28,59.8
10:36:29,59.8
10:36:30,59.8
10:36:31,59.8
10:36:32,59.7
10:36:33,59.9
10:36:34,60.0
10:36:35,60.1
10:36:36,60.1
10:36:37,60.1
10:36:38,59.4
10:36:39,59.4
10:36:40,59.4
10:36:41,59.3
10:36:42,59.2
10:36:43,58.9
10:36:44,59.3
10:36:45,59.4
10:36:46,59.5
10:36:47,59.5
10:36:48,59.8
10:36:49,60.0
10:36:50,59.9
10:36:51,59.9
10:36:52,59.9
10:36:53,59.9
10:36:54,59.9
10:36:55,59.9
10:36:56,60.0
10:36:57,60.0
10:36:58,60.2
10:36:59,60.2
10:37:00,60.1
10:37:01,60.0
10:37:02,59.9
10:37:03,59.8
10:37:04,59.9
10:37:05,59.4
10:37:06,59.7
10:37:07,59.6
10:37:08,59.5
10:37:09,59.4
10:37:10,59.4
10:37:11,59.3
10:37:12,59.3
10:37:13,59.1
10:37:14,59.2
10:37:15,59.2
10:37:16,59.0
10:37:17,59.0
10:37:18,58.9
10:37:19,58.9
10:37:20,58.8
10:37:21,58.8
10:37:22,58.8
10:37:23,58.8
10:37:24,58.7
10:37:25,58.7
10:37:26,58.7
10:37:27,58.7
10:37:28,57.9
10:37:29,57.4
10:37:30,57.4
10:37:31,57.5
10:37:32,57.4
10:37:33,57.4
10:37:34,57.5
10:37:35,57.5
10:37:36,57.4
10:37:37,57.5
10:37:38,57.4
10:37:39,57.4
10:37:40,57.4
10:37:41,57.4
10:37:42,57.4
10:37:43,57.4
10:37:44,57.4
10:37:45,57.3
10:37:46,57.4
10:37:47,57.4
10:37:48,57.3
10:37:49,57.3
10:37:50,57.3
10:37:51,57.3
10:37:52,57.3
10:37:53,57.4
10:37:54,57.4
10:37:55,57.4
10:37:56,57.4
10:37:57,57.4
10:37:58,57.4
10:37:59,57.4
10:38:00,57.4
10:38:01,57.4
10:38:02,57.4
10:38:03,57.4
10:38:04,57.4
10:38:05,57.6
10:38:06,57.6
10:38:07,57.5
10:38:08,57.5
10:38:09,57.6
10:38:10,57.6
10:38:11,57.6
10:38:12,57.6
10:38:13,57.6
10:38:14,57.6
10:38:15,57.5
10:38:16,57.5
10:38:17,57.5
10:38:18,57.5
10:38:19,57.5
